user_id,smoother,n_clusters,n_survived,f1_mean,f1_std
U000,aaps_exponential,388,102,0.4185105712333793,0.062180509108897844
U000,ukf,388,171,0.6415417159090098,0.046045206887962584
U002,aaps_exponential,483,138,0.5696702491034311,0.03576167178874691
U002,ukf,483,258,0.7561049284578696,0.03146136577781003
U005,aaps_exponential,222,63,0.5660805226989876,0.054204440644573346
U005,ukf,222,119,0.7924974627532172,0.03605885790405228
U029,aaps_exponential,164,36,0.58468720821662,0.11329892603739587
U029,ukf,164,77,0.6663542340012928,0.07908779571943307
U031,aaps_exponential,237,17,0.30828282828282827,0.15854454843798363
U031,ukf,237,67,0.5464535464535464,0.044027505256833493
U033,aaps_exponential,606,252,0.7219991255507349,0.04155945387223563
U033,ukf,606,395,0.8433148461082947,0.02523271374475824
U047,aaps_exponential,387,106,0.525933014354067,0.13523093399113847
U047,ukf,387,207,0.7153078116412905,0.044254292233764814
U053,aaps_exponential,296,65,0.4627257799671593,0.08335670456161663
U053,ukf,296,140,0.6827574024951704,0.026402126549040197
U073,aaps_exponential,255,57,0.3711227041210063,0.07167532629799162
U073,ukf,255,112,0.6807809389559092,0.06544547873459675
U122,aaps_exponential,370,110,0.6804050898222961,0.054724684650461146
U122,ukf,370,191,0.7758406976344971,0.04260872099630603
U130,aaps_exponential,260,57,0.41051047843886723,0.15257911659876813
U130,ukf,260,101,0.6513644039175953,0.09512200584090079
U132,aaps_exponential,329,82,0.4982920886146693,0.029384493705063283
U132,ukf,329,165,0.7018831308528486,0.05939458432862282
U135,aaps_exponential,87,22,0.5264069264069263,0.19603938046009775
U135,ukf,87,48,0.6684610814022578,0.10541398041431238
U138,aaps_exponential,124,25,0.289062049062049,0.09544436973418974
U138,ukf,124,56,0.6631151457238414,0.13044006786762707
U141,aaps_exponential,327,54,0.4770554405337014,0.09522780117044144
U141,ukf,327,132,0.6470105738277715,0.027104006020004148
U142,aaps_exponential,92,13,0.6085714285714285,0.10125740083811059
U142,ukf,92,37,0.5917379679144384,0.04957055160887998
U143,aaps_exponential,227,38,0.3318465847877613,0.09015739657624709
U143,ukf,227,98,0.6296630871708271,0.12568363309870503
U144,aaps_exponential,90,19,0.556060606060606,0.2812927290717443
U144,ukf,90,39,0.6735448916408668,0.10345779719758082
