user_id,sensor_type,algorithm,peak_event_accel_retention,n_events
User_B,G6,aaps_average,1.0,3743
User_B,G6,aaps_exponential,0.4615384615384615,3743
User_B,G6,ukf,0.5983222962700754,3743
User_C,G6,aaps_average,1.0,3054
User_C,G6,aaps_exponential,0.5714285714285714,3054
User_C,G6,ukf,0.6892319247231062,3054
User_D,G6,aaps_average,1.0,1966
User_D,G6,aaps_exponential,0.4285714285714285,1966
User_D,G6,ukf,0.5908281966837259,1966
User_D,G7,aaps_average,1.0,1938
User_D,G7,aaps_exponential,0.4285714285714285,1938
User_D,G7,ukf,0.5860671524286609,1938
User_F,G6,aaps_average,1.0,1407
User_F,G6,aaps_exponential,0.5714285714285714,1407
User_F,G6,ukf,0.6849085397820106,1407
User_G,G6,aaps_average,1.0,1306
User_G,G6,aaps_exponential,0.6,1306
User_G,G6,ukf,0.7108167728009991,1306
User_I,G6,aaps_average,1.0,920
User_I,G6,aaps_exponential,0.43750000000000006,920
User_I,G6,ukf,0.6105541972280599,920
User_I,G7,aaps_average,1.0,2158
User_I,G7,aaps_exponential,0.4166666666666667,2158
User_I,G7,ukf,0.5871813838189974,2158
User_J,G6,aaps_average,1.0,1522
User_J,G6,aaps_exponential,0.47368421052631576,1522
User_J,G6,ukf,0.6228440254826131,1522
User_J,G7,aaps_average,1.0,2363
User_J,G7,aaps_exponential,0.5,2363
User_J,G7,ukf,0.6308336601570441,2363
User_K,G6,aaps_average,1.0,1268
User_K,G6,aaps_exponential,0.5714285714285714,1268
User_K,G6,ukf,0.6814780775678886,1268
User_L,G7,aaps_average,1.0,4645
User_L,G7,aaps_exponential,0.44999999999999996,4645
User_L,G7,ukf,0.5829963084811675,4645
User_M,G6,aaps_average,1.0,2835
User_M,G6,aaps_exponential,0.39999999999999997,2835
User_M,G6,ukf,0.5780427947169914,2835
